"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|ES","Without Sequence","50.87","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|ES","Without Sequence","48.19","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|ES","Without Sequence","44.68","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|ES","Without Sequence","38.50","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|ES","Without Sequence","36.80","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|ES","Without Sequence","36.55","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|ES","Without Sequence","36.60","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|ES","Without Sequence","36.55","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|ES","Without Sequence","36.55","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|ES","Without Sequence","36.55","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|ES","Without Sequence","37.55","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|ES","Without Sequence","37.55","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|ES","Without Sequence","37.55","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|ES","Without Sequence","37.55","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|ES","Without Sequence","36.60","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|ES","Without Sequence","35.50","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|ES","Without Sequence","36.00","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|ES","Without Sequence","38.50","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|ES","Without Sequence","52.01","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|ES","Without Sequence","55.16","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|ES","Without Sequence","57.40","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|ES","Without Sequence","53.86","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|ES","Without Sequence","53.45","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|ES","Without Sequence","49.72","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|ES","Without Sequence","46.69","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|ES","Without Sequence","42.43","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|ES","Without Sequence","40.10","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|ES","Without Sequence","39.11","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|ES","Without Sequence","37.55","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|ES","Without Sequence","37.70","",""
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|ES","Without Sequence","39.60","",""
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|ES","Without Sequence","43.34","",""
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|ES","Without Sequence","48.45","",""
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|ES","Without Sequence","51.60","",""
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|ES","Without Sequence","52.00","",""
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|ES","Without Sequence","51.25","",""
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|ES","Without Sequence","50.56","",""
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|ES","Without Sequence","50.57","",""
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|ES","Without Sequence","50.57","",""
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|ES","Without Sequence","48.45","",""
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|ES","Without Sequence","50.25","",""
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|ES","Without Sequence","54.23","",""
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|ES","Without Sequence","58.65","",""
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|ES","Without Sequence","60.43","",""
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","BZN|ES","Without Sequence","60.03","",""
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","BZN|ES","Without Sequence","55.03","",""
"02/01/2021 22:00:00 - 02/01/2021 23:00:00","BZN|ES","Without Sequence","52.25","",""
"02/01/2021 23:00:00 - 03/01/2021 00:00:00","BZN|ES","Without Sequence","48.45","",""
"03/01/2021 00:00:00 - 03/01/2021 01:00:00","BZN|ES","Without Sequence","46.11","",""
"03/01/2021 01:00:00 - 03/01/2021 02:00:00","BZN|ES","Without Sequence","43.00","",""
"03/01/2021 02:00:00 - 03/01/2021 03:00:00","BZN|ES","Without Sequence","39.55","",""
"03/01/2021 03:00:00 - 03/01/2021 04:00:00","BZN|ES","Without Sequence","37.44","",""
"03/01/2021 04:00:00 - 03/01/2021 05:00:00","BZN|ES","Without Sequence","35.64","",""
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","BZN|ES","Without Sequence","35.50","",""
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|ES","Without Sequence","36.14","",""
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|ES","Without Sequence","36.97","",""
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|ES","Without Sequence","38.92","",""
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|ES","Without Sequence","44.49","",""
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|ES","Without Sequence","49.00","",""
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|ES","Without Sequence","50.30","",""
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|ES","Without Sequence","48.00","",""
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|ES","Without Sequence","46.64","",""
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|ES","Without Sequence","44.01","",""
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|ES","Without Sequence","41.27","",""
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|ES","Without Sequence","49.92","",""
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|ES","Without Sequence","55.16","",""
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|ES","Without Sequence","59.29","",""
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|ES","Without Sequence","61.09","",""
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|ES","Without Sequence","60.00","",""
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|ES","Without Sequence","59.40","",""
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|ES","Without Sequence","55.36","",""
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|ES","Without Sequence","53.06","",""
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|ES","Without Sequence","50.23","",""
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|ES","Without Sequence","47.01","",""
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|ES","Without Sequence","43.79","",""
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|ES","Without Sequence","41.65","",""
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|ES","Without Sequence","41.62","",""
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|ES","Without Sequence","44.50","",""
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|ES","Without Sequence","56.00","",""
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|ES","Without Sequence","62.00","",""
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|ES","Without Sequence","64.84","",""
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|ES","Without Sequence","68.25","",""
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|ES","Without Sequence","65.97","",""
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|ES","Without Sequence","63.93","",""
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|ES","Without Sequence","63.94","",""
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|ES","Without Sequence","63.94","",""
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|ES","Without Sequence","61.97","",""
