"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|BE","Without Sequence","42.00","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|BE","Without Sequence","49.94","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|BE","Without Sequence","51.95","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|BE","Without Sequence","40.99","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|BE","Without Sequence","39.00","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|BE","Without Sequence","35.89","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|BE","Without Sequence","34.99","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|BE","Without Sequence","29.02","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|BE","Without Sequence","28.64","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|BE","Without Sequence","34.94","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|BE","Without Sequence","39.94","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|BE","Without Sequence","42.44","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|BE","Without Sequence","49.57","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|BE","Without Sequence","48.69","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|BE","Without Sequence","37.44","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|BE","Without Sequence","37.30","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|BE","Without Sequence","44.12","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|BE","Without Sequence","51.59","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|BE","Without Sequence","59.07","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|BE","Without Sequence","55.00","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|BE","Without Sequence","52.00","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|BE","Without Sequence","52.00","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|BE","Without Sequence","52.44","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|BE","Without Sequence","49.27","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|BE","Without Sequence","42.79","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|BE","Without Sequence","39.66","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|BE","Without Sequence","39.20","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|BE","Without Sequence","37.28","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|BE","Without Sequence","36.63","",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|BE","Without Sequence","39.06","",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|BE","Without Sequence","44.98","",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|BE","Without Sequence","50.74","",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|BE","Without Sequence","56.41","",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|BE","Without Sequence","59.20","",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|BE","Without Sequence","68.49","",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|BE","Without Sequence","65.99","",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|BE","Without Sequence","65.75","",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|BE","Without Sequence","61.72","",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|BE","Without Sequence","59.09","",""
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|BE","Without Sequence","58.24","",""
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|BE","Without Sequence","59.98","",""
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|BE","Without Sequence","71.86","",""
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|BE","Without Sequence","75.83","",""
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|BE","Without Sequence","69.05","",""
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|BE","Without Sequence","57.42","",""
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|BE","Without Sequence","54.72","",""
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|BE","Without Sequence","51.12","",""
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|BE","Without Sequence","51.46","",""
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|BE","Without Sequence","52.48","",""
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|BE","Without Sequence","44.75","",""
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|BE","Without Sequence","45.23","",""
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|BE","Without Sequence","41.90","",""
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|BE","Without Sequence","39.93","",""
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|BE","Without Sequence","41.54","",""
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|BE","Without Sequence","48.18","",""
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|BE","Without Sequence","58.29","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|BE","Without Sequence","69.58","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|BE","Without Sequence","75.32","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|BE","Without Sequence","64.62","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|BE","Without Sequence","61.04","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|BE","Without Sequence","60.84","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|BE","Without Sequence","58.75","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|BE","Without Sequence","57.84","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|BE","Without Sequence","57.47","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|BE","Without Sequence","59.63","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|BE","Without Sequence","67.16","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|BE","Without Sequence","137.21","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|BE","Without Sequence","90.17","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|BE","Without Sequence","74.94","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|BE","Without Sequence","48.90","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|BE","Without Sequence","68.73","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|BE","Without Sequence","65.00","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|BE","Without Sequence","39.00","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|BE","Without Sequence","42.70","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|BE","Without Sequence","40.00","",""
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|BE","Without Sequence","34.20","",""
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|BE","Without Sequence","32.20","",""
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|BE","Without Sequence","39.00","",""
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|BE","Without Sequence","37.95","",""
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|BE","Without Sequence","45.56","",""
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|BE","Without Sequence","73.01","",""
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|BE","Without Sequence","73.00","",""
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|BE","Without Sequence","72.85","",""
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|BE","Without Sequence","72.51","",""
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|BE","Without Sequence","71.72","",""
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|BE","Without Sequence","71.59","",""
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|BE","Without Sequence","69.00","",""
"04/01/2017 15:00:00 - 04/01/2017 16:00:00","BZN|BE","Without Sequence","67.13","",""
"04/01/2017 16:00:00 - 04/01/2017 17:00:00","BZN|BE","Without Sequence","68.26","",""
"04/01/2017 17:00:00 - 04/01/2017 18:00:00","BZN|BE","Without Sequence","66.01","",""
"04/01/2017 18:00:00 - 04/01/2017 19:00:00","BZN|BE","Without Sequence","63.74","",""
"04/01/2017 19:00:00 - 04/01/2017 20:00:00","BZN|BE","Without Sequence","62.22","",""
"04/01/2017 20:00:00 - 04/01/2017 21:00:00","BZN|BE","Without Sequence","54.99","",""
"04/01/2017 21:00:00 - 04/01/2017 22:00:00","BZN|BE","Without Sequence","49.88","",""
"04/01/2017 22:00:00 - 04/01/2017 23:00:00","BZN|BE","Without Sequence","47.61","",""
"04/01/2017 23:00:00 - 05/01/2017 00:00:00","BZN|BE","Without Sequence","48.94","",""
"05/01/2017 00:00:00 - 05/01/2017 01:00:00","BZN|BE","Without Sequence","42.70","",""
"05/01/2017 01:00:00 - 05/01/2017 02:00:00","BZN|BE","Without Sequence","36.32","",""
"05/01/2017 02:00:00 - 05/01/2017 03:00:00","BZN|BE","Without Sequence","40.85","",""
"05/01/2017 03:00:00 - 05/01/2017 04:00:00","BZN|BE","Without Sequence","39.49","",""
"05/01/2017 04:00:00 - 05/01/2017 05:00:00","BZN|BE","Without Sequence","35.64","",""
"05/01/2017 05:00:00 - 05/01/2017 06:00:00","BZN|BE","Without Sequence","35.73","",""
"05/01/2017 06:00:00 - 05/01/2017 07:00:00","BZN|BE","Without Sequence","39.03","",""
"05/01/2017 07:00:00 - 05/01/2017 08:00:00","BZN|BE","Without Sequence","51.42","",""
"05/01/2017 08:00:00 - 05/01/2017 09:00:00","BZN|BE","Without Sequence","65.26","",""
"05/01/2017 09:00:00 - 05/01/2017 10:00:00","BZN|BE","Without Sequence","63.65","",""
"05/01/2017 10:00:00 - 05/01/2017 11:00:00","BZN|BE","Without Sequence","63.22","",""
"05/01/2017 11:00:00 - 05/01/2017 12:00:00","BZN|BE","Without Sequence","61.53","",""
"05/01/2017 12:00:00 - 05/01/2017 13:00:00","BZN|BE","Without Sequence","61.53","",""
"05/01/2017 13:00:00 - 05/01/2017 14:00:00","BZN|BE","Without Sequence","60.44","",""
"05/01/2017 14:00:00 - 05/01/2017 15:00:00","BZN|BE","Without Sequence","61.23","",""
"05/01/2017 15:00:00 - 05/01/2017 16:00:00","BZN|BE","Without Sequence","64.10","",""
"05/01/2017 16:00:00 - 05/01/2017 17:00:00","BZN|BE","Without Sequence","69.70","",""
"05/01/2017 17:00:00 - 05/01/2017 18:00:00","BZN|BE","Without Sequence","74.60","",""
"05/01/2017 18:00:00 - 05/01/2017 19:00:00","BZN|BE","Without Sequence","114.75","",""
"05/01/2017 19:00:00 - 05/01/2017 20:00:00","BZN|BE","Without Sequence","85.88","",""
"05/01/2017 20:00:00 - 05/01/2017 21:00:00","BZN|BE","Without Sequence","70.83","",""
"05/01/2017 21:00:00 - 05/01/2017 22:00:00","BZN|BE","Without Sequence","56.47","",""
"05/01/2017 22:00:00 - 05/01/2017 23:00:00","BZN|BE","Without Sequence","52.78","",""
"05/01/2017 23:00:00 - 06/01/2017 00:00:00","BZN|BE","Without Sequence","53.73","",""
"06/01/2017 00:00:00 - 06/01/2017 01:00:00","BZN|BE","Without Sequence","52.65","",""
"06/01/2017 01:00:00 - 06/01/2017 02:00:00","BZN|BE","Without Sequence","45.19","",""
"06/01/2017 02:00:00 - 06/01/2017 03:00:00","BZN|BE","Without Sequence","43.34","",""
"06/01/2017 03:00:00 - 06/01/2017 04:00:00","BZN|BE","Without Sequence","42.12","",""
"06/01/2017 04:00:00 - 06/01/2017 05:00:00","BZN|BE","Without Sequence","40.51","",""
"06/01/2017 05:00:00 - 06/01/2017 06:00:00","BZN|BE","Without Sequence","42.77","",""
"06/01/2017 06:00:00 - 06/01/2017 07:00:00","BZN|BE","Without Sequence","44.95","",""
"06/01/2017 07:00:00 - 06/01/2017 08:00:00","BZN|BE","Without Sequence","66.55","",""
"06/01/2017 08:00:00 - 06/01/2017 09:00:00","BZN|BE","Without Sequence","86.03","",""
"06/01/2017 09:00:00 - 06/01/2017 10:00:00","BZN|BE","Without Sequence","86.35","",""
"06/01/2017 10:00:00 - 06/01/2017 11:00:00","BZN|BE","Without Sequence","71.01","",""
"06/01/2017 11:00:00 - 06/01/2017 12:00:00","BZN|BE","Without Sequence","75.08","",""
"06/01/2017 12:00:00 - 06/01/2017 13:00:00","BZN|BE","Without Sequence","84.90","",""
"06/01/2017 13:00:00 - 06/01/2017 14:00:00","BZN|BE","Without Sequence","67.36","",""
"06/01/2017 14:00:00 - 06/01/2017 15:00:00","BZN|BE","Without Sequence","63.50","",""
"06/01/2017 15:00:00 - 06/01/2017 16:00:00","BZN|BE","Without Sequence","65.62","",""
"06/01/2017 16:00:00 - 06/01/2017 17:00:00","BZN|BE","Without Sequence","66.21","",""
"06/01/2017 17:00:00 - 06/01/2017 18:00:00","BZN|BE","Without Sequence","69.85","",""
"06/01/2017 18:00:00 - 06/01/2017 19:00:00","BZN|BE","Without Sequence","169.32","",""
"06/01/2017 19:00:00 - 06/01/2017 20:00:00","BZN|BE","Without Sequence","107.85","",""
