"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|IT-North","Without Sequence","41.88","",""
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|IT-North","Without Sequence","38.60","",""
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|IT-North","Without Sequence","36.55","",""
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|IT-North","Without Sequence","32.32","",""
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|IT-North","Without Sequence","30.85","",""
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|IT-North","Without Sequence","30.14","",""
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|IT-North","Without Sequence","30.17","",""
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|IT-North","Without Sequence","30.00","",""
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|IT-North","Without Sequence","30.65","",""
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|IT-North","Without Sequence","30.65","",""
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|IT-North","Without Sequence","30.27","",""
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|IT-North","Without Sequence","30.34","",""
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|IT-North","Without Sequence","30.99","",""
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|IT-North","Without Sequence","30.04","",""
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|IT-North","Without Sequence","30.75","",""
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|IT-North","Without Sequence","32.11","",""
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|IT-North","Without Sequence","35.98","",""
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|IT-North","Without Sequence","42.70","",""
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|IT-North","Without Sequence","44.45","",""
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|IT-North","Without Sequence","47.38","",""
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|IT-North","Without Sequence","47.38","",""
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|IT-North","Without Sequence","42.08","",""
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|IT-North","Without Sequence","40.66","",""
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|IT-North","Without Sequence","36.69","",""
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|IT-North","Without Sequence","35.40","",""
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|IT-North","Without Sequence","31.98","",""
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|IT-North","Without Sequence","30.50","",""
