"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|ES","Without Sequence","48.55","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|ES","Without Sequence","40.00","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|ES","Without Sequence","33.10","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|ES","Without Sequence","28.11","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|ES","Without Sequence","27.13","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|ES","Without Sequence","25.24","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|ES","Without Sequence","19.98","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|ES","Without Sequence","18.16","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|ES","Without Sequence","17.73","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|ES","Without Sequence","19.77","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|ES","Without Sequence","23.75","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|ES","Without Sequence","26.03","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|ES","Without Sequence","27.06","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|ES","Without Sequence","26.59","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|ES","Without Sequence","25.00","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|ES","Without Sequence","20.06","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|ES","Without Sequence","19.43","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|ES","Without Sequence","24.57","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|ES","Without Sequence","33.11","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|ES","Without Sequence","35.34","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|ES","Without Sequence","33.07","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|ES","Without Sequence","29.52","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|ES","Without Sequence","30.10","",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|ES","Without Sequence","24.57","",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|ES","Without Sequence","22.20","",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|ES","Without Sequence","16.57","",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|ES","Without Sequence","15.35","",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|ES","Without Sequence","12.77","",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|ES","Without Sequence","11.27","",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|ES","Without Sequence","11.91","",""
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|ES","Without Sequence","12.62","",""
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|ES","Without Sequence","14.17","",""
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|ES","Without Sequence","17.73","",""
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|ES","Without Sequence","26.81","",""
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|ES","Without Sequence","35.40","",""
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|ES","Without Sequence","36.10","",""
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|ES","Without Sequence","30.34","",""
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|ES","Without Sequence","31.26","",""
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|ES","Without Sequence","30.99","",""
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|ES","Without Sequence","29.00","",""
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|ES","Without Sequence","32.00","",""
"02/01/2016 17:00:00 - 02/01/2016 18:00:00","BZN|ES","Without Sequence","39.99","",""
"02/01/2016 18:00:00 - 02/01/2016 19:00:00","BZN|ES","Without Sequence","45.50","",""
"02/01/2016 19:00:00 - 02/01/2016 20:00:00","BZN|ES","Without Sequence","55.10","",""
"02/01/2016 20:00:00 - 02/01/2016 21:00:00","BZN|ES","Without Sequence","59.00","",""
"02/01/2016 21:00:00 - 02/01/2016 22:00:00","BZN|ES","Without Sequence","59.56","",""
"02/01/2016 22:00:00 - 02/01/2016 23:00:00","BZN|ES","Without Sequence","51.10","",""
"02/01/2016 23:00:00 - 03/01/2016 00:00:00","BZN|ES","Without Sequence","40.66","",""
